tri,yy,season,full_name,position,abbrev
DAL,22,2022-23,Theo Pinson,G-F,T. Pinson
DAL,22,2022-23,Kyrie Irving,G,K. Irving
DAL,22,2022-23,Jaden Hardy,G,J. Hardy
DAL,22,2022-23,Dwight Powell,F-C,D. Powell
DAL,22,2022-23,Josh Green,G,J. Green
DAL,22,2022-23,A.J. Lawson,G,A. Lawson
DAL,22,2022-23,Tim Hardaway Jr.,G-F,T. Hardaway Jr.
DAL,22,2022-23,Markieff Morris,F,M. Morris
DAL,22,2022-23,Frank Ntilikina,G,F. Ntilikina
DAL,22,2022-23,McKinley Wright IV,G,M. Wright IV
DAL,22,2022-23,Reggie Bullock Jr.,G-F,R. Bullock Jr.
DAL,22,2022-23,Christian Wood,F,C. Wood
DAL,22,2022-23,Maxi Kleber,F,M. Kleber
DAL,22,2022-23,Davis Bertans,F,D. Bertans
DAL,22,2022-23,Luka Dončić,F-G,L. Dončić
DEN,22,2022-23,Christian Braun,G,C. Braun
DEN,22,2022-23,Michael Porter Jr.,F,M. Porter Jr.
DEN,22,2022-23,Kentavious Caldwell-Pope,G,K. Caldwell-Pope
DEN,22,2022-23,DeAndre Jordan,C,D. Jordan
DEN,22,2022-23,Reggie Jackson,G,R. Jackson
DEN,22,2022-23,Peyton Watson,G,P. Watson
DEN,22,2022-23,Jack White,F,J. White
DEN,22,2022-23,Bruce Brown,G-F,B. Brown
DEN,22,2022-23,Thomas Bryant,C-F,T. Bryant
DEN,22,2022-23,Ish Smith,G,I. Smith
DEN,22,2022-23,Nikola Jokić,C,N. Jokić
DEN,22,2022-23,Collin Gillespie,G,C. Gillespie
DEN,22,2022-23,Zeke Nnaji,F-C,Z. Nnaji
DEN,22,2022-23,Jamal Murray,G,J. Murray
DEN,22,2022-23,Vlatko Čančar,F,V. Čančar
DEN,22,2022-23,Jeff Green,F,J. Green
DEN,22,2022-23,Aaron Gordon,F,A. Gordon
DET,22,2022-23,Jalen Duren,C,J. Duren
DET,22,2022-23,Cade Cunningham,G,C. Cunningham
DET,22,2022-23,Alec Burks,G,A. Burks
DET,22,2022-23,Hamidou Diallo,G,H. Diallo
DET,22,2022-23,Killian Hayes,G,K. Hayes
DET,22,2022-23,Jared Rhoden,G,J. Rhoden
DET,22,2022-23,Isaiah Livers,F,I. Livers
DET,22,2022-23,James Wiseman,C,J. Wiseman
DET,22,2022-23,R.J. Hampton,G,R. Hampton
DET,22,2022-23,Rodney McGruder,G,R. McGruder
DET,22,2022-23,Cory Joseph,G,C. Joseph
DET,22,2022-23,Jaden Ivey,G,J. Ivey
DET,22,2022-23,Buddy Boeheim,F,B. Boeheim
DET,22,2022-23,Isaiah Stewart,F-C,I. Stewart
DET,22,2022-23,Marvin Bagley III,F,M. Bagley III
DET,22,2022-23,Bojan Bogdanovic,F,B. Bogdanovic
DET,22,2022-23,Eugene Omoruyi,F,E. Omoruyi
GSW,22,2022-23,Donte DiVincenzo,G,D. DiVincenzo
GSW,22,2022-23,Jonathan Kuminga,F,J. Kuminga
GSW,22,2022-23,JaMychal Green,F-C,J. Green
GSW,22,2022-23,Ryan Rollins,G,R. Rollins
GSW,22,2022-23,Jordan Poole,G,J. Poole
GSW,22,2022-23,Moses Moody,G,M. Moody
GSW,22,2022-23,Kevon Looney,F,K. Looney
GSW,22,2022-23,Patrick Baldwin Jr.,F,P. Baldwin Jr.
GSW,22,2022-23,Gary Payton II,G,G. Payton II
GSW,22,2022-23,Andre Iguodala,G-F,A. Iguodala
GSW,22,2022-23,Ty Jerome,G-F,T. Jerome
GSW,22,2022-23,Klay Thompson,G,K. Thompson
GSW,22,2022-23,Andrew Wiggins,F,A. Wiggins
GSW,22,2022-23,Draymond Green,F,D. Green
GSW,22,2022-23,Lester Quinones,G,L. Quinones
GSW,22,2022-23,Stephen Curry,G,S. Curry
GSW,22,2022-23,Anthony Lamb,F,A. Lamb
HOU,22,2022-23,Willie Cauley-Stein,C,W. Cauley-Stein
HOU,22,2022-23,TyTy Washington Jr.,G,T. Washington Jr.
HOU,22,2022-23,Jabari Smith Jr.,F,J. Smith Jr.
HOU,22,2022-23,Kevin Porter Jr.,G-F,K. Porter Jr.
HOU,22,2022-23,Jalen Green,G,J. Green
HOU,22,2022-23,D.J. Augustin,G,D. Augustin
HOU,22,2022-23,Darius Days,F,D. Days
HOU,22,2022-23,KJ Martin,F,K. Martin
HOU,22,2022-23,Jae'Sean Tate,F,J. Tate
HOU,22,2022-23,Josh Christopher,G,J. Christopher
HOU,22,2022-23,Trevor Hudgins,G,T. Hudgins
HOU,22,2022-23,Daishen Nix,G,D. Nix
HOU,22,2022-23,Usman Garuba,F,U. Garuba
HOU,22,2022-23,Tari Eason,F,T. Eason
HOU,22,2022-23,Alperen Sengun,C,A. Sengun
HOU,22,2022-23,Frank Kaminsky,F-C,F. Kaminsky
HOU,22,2022-23,Boban Marjanovic,C,B. Marjanovic
IND,22,2022-23,Tyrese Haliburton,G,T. Haliburton
IND,22,2022-23,Bennedict Mathurin,G-F,B. Mathurin
IND,22,2022-23,Andrew Nembhard,G-F,A. Nembhard
IND,22,2022-23,Chris Duarte,G,C. Duarte
IND,22,2022-23,George Hill,G,G. Hill
IND,22,2022-23,T.J. McConnell,G,T. McConnell
IND,22,2022-23,Kendall Brown,G,K. Brown
IND,22,2022-23,Oshae Brissett,F-G,O. Brissett
IND,22,2022-23,Jordan Nwora,F,J. Nwora
IND,22,2022-23,James Johnson,F,J. Johnson
IND,22,2022-23,Isaiah Jackson,F,I. Jackson
IND,22,2022-23,Aaron Nesmith,G-F,A. Nesmith
IND,22,2022-23,Buddy Hield,G,B. Hield
IND,22,2022-23,Jalen Smith,F-C,J. Smith
IND,22,2022-23,Daniel Theis,F-C,D. Theis
IND,22,2022-23,Gabe York,G,G. York
IND,22,2022-23,Myles Turner,C-F,M. Turner
LAC,22,2022-23,Russell Westbrook,G,R. Westbrook
LAC,22,2022-23,Kawhi Leonard,F,K. Leonard
LAC,22,2022-23,Brandon Boston,G,B. Boston
LAC,22,2022-23,Bones Hyland,G,B. Hyland
LAC,22,2022-23,Amir Coffey,G-F,A. Coffey
LAC,22,2022-23,Marcus Morris Sr.,F,M. Morris Sr.
LAC,22,2022-23,Eric Gordon,G,E. Gordon
LAC,22,2022-23,Paul George,F,P. George
LAC,22,2022-23,Terance Mann,G-F,T. Mann
LAC,22,2022-23,Xavier Moon,G,X. Moon
LAC,22,2022-23,Jason Preston,G,J. Preston
LAC,22,2022-23,Robert Covington,F,R. Covington
LAC,22,2022-23,Norman Powell,G,N. Powell
LAC,22,2022-23,Moussa Diabaté,F,M. Diabaté
LAC,22,2022-23,Nicolas Batum,G-F,N. Batum
LAC,22,2022-23,Ivica Zubac,C,I. Zubac
LAC,22,2022-23,Mason Plumlee,F-C,M. Plumlee
LAL,22,2022-23,Shaquille Harrison,G,S. Harrison
LAL,22,2022-23,D'Angelo Russell,G,D. Russell
LAL,22,2022-23,Jarred Vanderbilt,F,J. Vanderbilt
LAL,22,2022-23,Anthony Davis,F-C,A. Davis
LAL,22,2022-23,Lonnie Walker IV,G-F,L. Walker IV
LAL,22,2022-23,Malik Beasley,G,M. Beasley
LAL,22,2022-23,LeBron James,F,L. James
LAL,22,2022-23,Troy Brown Jr.,G-F,T. Brown Jr.
LAL,22,2022-23,Tristan Thompson,C-F,T. Thompson
LAL,22,2022-23,Max Christie,G,M. Christie
LAL,22,2022-23,Mo Bamba,C,M. Bamba
LAL,22,2022-23,Scotty Pippen Jr.,G,S. Pippen Jr.
LAL,22,2022-23,Austin Reaves,G,A. Reaves
LAL,22,2022-23,Dennis Schröder,G,D. Schröder
LAL,22,2022-23,Cole Swider,F,C. Swider
LAL,22,2022-23,Rui Hachimura,F,R. Hachimura
LAL,22,2022-23,Wenyen Gabriel,F,W. Gabriel
MEM,22,2022-23,Jacob Gilyard,G,J. Gilyard
MEM,22,2022-23,Xavier Tillman,F,X. Tillman
MEM,22,2022-23,Jake LaRavia,F,J. LaRavia
MEM,22,2022-23,Steven Adams,C,S. Adams
MEM,22,2022-23,Vince Williams Jr.,G,V. Williams Jr.
MEM,22,2022-23,Kenneth Lofton Jr.,F,K. Lofton Jr.
MEM,22,2022-23,Santi Aldama,F-C,S. Aldama
MEM,22,2022-23,Ziaire Williams,F,Z. Williams
